example_id                                                                 | status | run_time        |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:4:4]                    | passed | 0.0164 seconds  |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:4:5]                    | passed | 0.01682 seconds |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:5:1]                    | passed | 0.01192 seconds |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:5:2]                    | passed | 0.00991 seconds |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:6:1]                    | passed | 0.01205 seconds |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:6:2]                    | passed | 0.00824 seconds |
./spec/models/enliterator/heartbeat_plan_spec.rb[1:7]                      | passed | 0.01368 seconds |
./spec/models/enliterator/heartbeat_prepared_plan_spec.rb[1:1]             | passed | 0.00127 seconds |
./spec/models/enliterator/heartbeat_prepared_plan_spec.rb[1:2]             | passed | 0.00114 seconds |
./spec/models/enliterator/heartbeat_prepared_plan_spec.rb[1:3]             | passed | 0.00104 seconds |
./spec/models/enliterator/heartbeat_prepared_plan_spec.rb[1:4]             | passed | 0.00138 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:1:1]                  | passed | 0.00878 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:1:2]                  | passed | 0.00393 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:1:3]                  | passed | 0.00448 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:1:4]                  | passed | 0.00689 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:1:5]                  | passed | 0.00669 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:2:1]                  | passed | 0.00387 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:3:1]                  | passed | 0.01453 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:3:2]                  | passed | 0.0072 seconds  |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:3:3]                  | passed | 0.00598 seconds |
./spec/models/enliterator/heartbeat_reaper_spec.rb[1:4:1]                  | passed | 0.00495 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:1:1]                            | passed | 0.0043 seconds  |
./spec/models/enliterator/lacuna_spec.rb[1:1:2]                            | passed | 0.01258 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:1:3]                            | passed | 0.00463 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:1:4]                            | passed | 0.0076 seconds  |
./spec/models/enliterator/lacuna_spec.rb[1:1:5]                            | passed | 0.00577 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:1:6]                            | passed | 0.00562 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:2:1]                            | passed | 0.00598 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:2:2]                            | passed | 0.00585 seconds |
./spec/models/enliterator/lacuna_spec.rb[1:3:1]                            | passed | 0.00782 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:1]                      | passed | 0.00248 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:1]                    | passed | 0.00346 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:2]                    | passed | 0.00232 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:3]                    | passed | 0.00253 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:4]                    | passed | 0.00236 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:5]                    | passed | 0.00567 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:6]                    | passed | 0.00346 seconds |
./spec/models/enliterator/name_authority_spec.rb[1:2:7]                    | passed | 0.00333 seconds |
./spec/models/enliterator/part_spec.rb[1:1:1]                              | passed | 0.00622 seconds |
./spec/models/enliterator/part_spec.rb[1:1:2]                              | passed | 0.01566 seconds |
./spec/models/enliterator/part_spec.rb[1:1:3]                              | passed | 0.01912 seconds |
./spec/models/enliterator/part_spec.rb[1:2:1]                              | passed | 0.0102 seconds  |
./spec/models/enliterator/part_spec.rb[1:2:2]                              | passed | 0.00389 seconds |
./spec/models/enliterator/part_spec.rb[1:3:1]                              | passed | 0.00058 seconds |
./spec/models/enliterator/part_spec.rb[1:3:2]                              | passed | 0.01226 seconds |
./spec/models/enliterator/part_spec.rb[1:4:1]                              | passed | 0.00731 seconds |
./spec/models/enliterator/proposed_term_spec.rb[1:1:1]                     | passed | 0.00906 seconds |
./spec/models/enliterator/proposed_term_spec.rb[1:1:2]                     | passed | 0.00933 seconds |
./spec/models/enliterator/proposed_term_spec.rb[1:1:3]                     | passed | 0.00693 seconds |
./spec/models/enliterator/proposed_term_spec.rb[1:1:4]                     | passed | 0.01432 seconds |
./spec/models/enliterator/proposed_term_spec.rb[1:1:5]                     | passed | 0.00875 seconds |
./spec/models/enliterator/suggestion_spec.rb[1:1:1]                        | passed | 0.00356 seconds |
./spec/models/enliterator/suggestion_spec.rb[1:1:2]                        | passed | 0.0036 seconds  |
